,,Tibetan,,,,,,,,,,,,,,Northeast   Asia ,,,,,Southeast   Asia ,,,,South Asia,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0330 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.1000 ,0.0638 ,0.0831 ,0.0690 ,0.0915 ,0.0448 ,0.1056 ,0.0800 ,0.0755 ,0.0765 ,0.0695 ,0.0654 ,0.0566 ,,0.0567 ,0.0370 ,0.0370 ,0.0581 ,,0.0550 ,0.0550 ,0.0330 ,,0.0906 ,0.0420 ,0.0790 ,0.0250 ,0.0591 ,,0.0862 ,0.0810 ,0.0990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.1,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0016 ,0.0119 ,,0.0037 ,0.0000 ,0.0000 ,0.0025 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0080 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.3,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0160 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.1688 ,0.1790 ,0.1892 ,0.1700 ,0.1707 ,0.2201 ,0.2333 ,0.1000 ,0.1604 ,0.1806 ,0.1450 ,0.1449 ,0.1637 ,,0.1709 ,0.2240 ,0.1520 ,0.2121 ,,0.1930 ,0.2100 ,0.1840 ,,0.2261 ,0.2420 ,0.1900 ,0.1560 ,0.2205 ,,0.2198 ,0.2060 ,0.3317 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.1,0.0000 ,0.0000 ,0.0000 ,0.0049 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0016 ,0.0030 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.1813 ,0.2757 ,0.2602 ,0.2586 ,0.2195 ,0.2985 ,0.2167 ,0.2700 ,0.2736 ,0.2965 ,0.3100 ,0.2921 ,0.3006 ,,0.3364 ,0.3570 ,0.4000 ,0.2904 ,,0.3380 ,0.2880 ,0.3770 ,,0.2480 ,0.2330 ,0.3020 ,0.3770 ,0.2835 ,,0.2759 ,0.2910 ,0.2079 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.2625 ,0.2695 ,0.2542 ,0.2488 ,0.1829 ,0.2799 ,0.2500 ,0.3200 ,0.3302 ,0.2235 ,0.2568 ,0.2559 ,0.2441 ,,0.2340 ,0.2110 ,0.2190 ,0.2197 ,,0.2050 ,0.1620 ,0.1650 ,,0.1603 ,0.0080 ,0.1750 ,0.0980 ,0.1850 ,,0.1681 ,0.1890 ,0.1139 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.1,0.0000 ,0.0021 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0025 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.3,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0008 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.0125 ,0.0453 ,0.0337 ,0.0443 ,0.0671 ,0.0299 ,0.0222 ,0.0200 ,0.0189 ,0.0341 ,0.0589 ,0.0465 ,0.0446 ,,0.0375 ,0.0410 ,0.0650 ,0.0202 ,,0.0360 ,0.0260 ,0.0140 ,,0.0199 ,0.0080 ,0.0320 ,0.0000 ,0.0512 ,,0.0345 ,0.0230 ,0.0347 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0000 ,0.0103 ,0.0048 ,0.0025 ,0.0061 ,0.0000 ,0.0000 ,0.0100 ,0.0000 ,0.0065 ,0.0030 ,0.0055 ,0.0030 ,,0.0101 ,0.0020 ,0.0060 ,0.0303 ,,0.0020 ,0.0050 ,0.0000 ,,0.0009 ,0.0170 ,0.0080 ,0.0000 ,0.0000 ,,0.0043 ,0.0050 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.0000 ,0.0041 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 4,CSF1PO,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.0125 ,0.0103 ,0.0036 ,0.0074 ,0.0000 ,0.0037 ,0.0111 ,0.0100 ,0.0094 ,0.0047 ,0.0060 ,0.0055 ,0.0060 ,,0.0000 ,0.0110 ,0.0040 ,0.0000 ,,0.0000 ,0.0000 ,0.0090 ,,0.0029 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0000 ,0.0030 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0030 ,0.0024 ,0.0000 ,,0.0037 ,0.0000 ,0.0000 ,0.0051 ,,0.0020 ,0.0050 ,0.0090 ,,0.0029 ,0.0080 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0050 ,0.0147 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.0313 ,0.0494 ,0.0422 ,0.0542 ,0.0549 ,0.0485 ,0.0389 ,0.0600 ,0.0943 ,0.0512 ,0.0438 ,0.0874 ,0.0298 ,,0.0521 ,0.0480 ,0.0480 ,0.0429 ,,0.0190 ,0.0190 ,0.0240 ,,0.0159 ,0.0000 ,0.0160 ,0.0250 ,0.0433 ,,0.0174 ,0.0320 ,0.0343 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.1938 ,0.2140 ,0.2036 ,0.2463 ,0.2134 ,0.1418 ,0.1611 ,0.1900 ,0.1698 ,0.2344 ,0.2175 ,0.2315 ,0.2292 ,,0.2249 ,0.2240 ,0.2420 ,0.2374 ,,0.2140 ,0.2050 ,0.2590 ,,0.2559 ,0.1420 ,0.2620 ,0.1310 ,0.1535 ,,0.2478 ,0.2540 ,0.2647 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0080 ,0.0080 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.2500 ,0.2675 ,0.2819 ,0.2217 ,0.2866 ,0.2910 ,0.3222 ,0.3000 ,0.1981 ,0.2367 ,0.2387 ,0.2173 ,0.2857 ,,0.2249 ,0.2010 ,0.2360 ,0.2424 ,,0.2980 ,0.3620 ,0.2780 ,,0.3067 ,0.3580 ,0.2700 ,0.3280 ,0.3268 ,,0.3522 ,0.3330 ,0.2843 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.4188 ,0.3807 ,0.4181 ,0.3966 ,0.3841 ,0.4552 ,0.4000 ,0.3600 ,0.4623 ,0.3863 ,0.4150 ,0.3717 ,0.3780 ,,0.4159 ,0.4190 ,0.3810 ,0.4091 ,,0.3760 ,0.3330 ,0.3580 ,,0.3376 ,0.3580 ,0.3730 ,0.4510 ,0.4016 ,,0.3043 ,0.3090 ,0.3284 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.1,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0008 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.0688 ,0.0576 ,0.0434 ,0.0616 ,0.0549 ,0.0560 ,0.0556 ,0.0800 ,0.0472 ,0.0707 ,0.0680 ,0.0648 ,0.0685 ,,0.0640 ,0.0760 ,0.0740 ,0.0581 ,,0.0790 ,0.0620 ,0.0520 ,,0.0667 ,0.0920 ,0.0480 ,0.0490 ,0.0669 ,,0.0652 ,0.0470 ,0.0637 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0188 ,0.0185 ,0.0048 ,0.0099 ,0.0061 ,0.0037 ,0.0111 ,0.0000 ,0.0189 ,0.0135 ,0.0076 ,0.0173 ,0.0030 ,,0.0137 ,0.0190 ,0.0090 ,0.0051 ,,0.0100 ,0.0070 ,0.0090 ,,0.0099 ,0.0420 ,0.0240 ,0.0080 ,0.0039 ,,0.0130 ,0.0090 ,0.0098 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.0063 ,0.0021 ,0.0024 ,0.0025 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0024 ,0.0000 ,0.0016 ,0.0000 ,,0.0009 ,0.0020 ,0.0060 ,0.0000 ,,0.0020 ,0.0070 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0090 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 5,D3S1358,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.0000 ,0.0000 ,0.0024 ,0.0000 ,0.0000 ,0.0037 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0018 ,0.0050 ,0.0020 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,0.0049 ,0.0250 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.0000 ,0.0000 ,0.0012 ,0.0025 ,0.0000 ,0.0075 ,0.0056 ,0.0100 ,0.0000 ,0.0018 ,0.0015 ,0.0008 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0050 ,0.0070 ,0.0000 ,,0.0009 ,0.0330 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0030 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0563 ,0.0288 ,0.0241 ,0.0172 ,0.0610 ,0.0448 ,0.0444 ,0.0600 ,0.0189 ,0.0229 ,0.0302 ,0.0268 ,0.0508 ,,0.0457 ,0.0200 ,0.0350 ,0.0556 ,,0.0310 ,0.0500 ,0.0570 ,,0.0418 ,0.1000 ,0.0550 ,0.0490 ,0.0315 ,,0.0437 ,0.0590 ,0.0388 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.3375 ,0.3416 ,0.3337 ,0.2906 ,0.2683 ,0.3022 ,0.3611 ,0.3200 ,0.2547 ,0.3341 ,0.3220 ,0.3307 ,0.3433 ,,0.3803 ,0.3970 ,0.3510 ,0.4192 ,,0.2860 ,0.2810 ,0.2360 ,,0.3067 ,0.3080 ,0.2580 ,0.3360 ,0.3307 ,,0.2540 ,0.3210 ,0.2282 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0410 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.3625 ,0.3210 ,0.3759 ,0.3670 ,0.3963 ,0.3955 ,0.3500 ,0.3600 ,0.3868 ,0.3494 ,0.3580 ,0.3433 ,0.3254 ,,0.3199 ,0.3180 ,0.3310 ,0.3005 ,,0.3760 ,0.3600 ,0.2590 ,,0.2918 ,0.2830 ,0.3670 ,0.2620 ,0.3228 ,,0.2817 ,0.2400 ,0.2379 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0080 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.2000 ,0.2160 ,0.1904 ,0.2537 ,0.1890 ,0.1940 ,0.1722 ,0.1300 ,0.2170 ,0.2100 ,0.2145 ,0.2189 ,0.1851 ,,0.1846 ,0.1860 ,0.1840 ,0.1818 ,,0.2170 ,0.2020 ,0.3680 ,,0.2291 ,0.2250 ,0.2500 ,0.2620 ,0.2087 ,,0.2262 ,0.2030 ,0.3641 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0.0438 ,0.0844 ,0.0699 ,0.0665 ,0.0671 ,0.0522 ,0.0611 ,0.1200 ,0.1132 ,0.0747 ,0.0695 ,0.0772 ,0.0836 ,,0.0585 ,0.0670 ,0.0890 ,0.0429 ,,0.0790 ,0.0690 ,0.0750 ,,0.1145 ,0.0250 ,0.0630 ,0.0490 ,0.1024 ,,0.1905 ,0.1640 ,0.1214 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,0.0000 ,0.0082 ,0.0024 ,0.0025 ,0.0183 ,0.0000 ,0.0000 ,0.0000 ,0.0094 ,0.0071 ,0.0045 ,0.0016 ,0.0119 ,,0.0091 ,0.0050 ,0.0090 ,0.0000 ,,0.0070 ,0.0140 ,0.0050 ,,0.0089 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0040 ,0.0110 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0056 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,0.0000 ,,0.0000 ,0.0140 ,0.0000 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.1,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0008 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 6,D5S818,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0.0125 ,0.0000 ,0.0096 ,0.0099 ,0.0000 ,0.0112 ,0.0111 ,0.0100 ,0.0094 ,0.0106 ,0.0060 ,0.0118 ,0.0179 ,,0.0110 ,0.0040 ,0.0130 ,0.0152 ,,0.0260 ,0.0210 ,0.0140 ,,0.0029 ,0.0000 ,0.0000 ,0.0000 ,0.0079 ,,0.0040 ,0.0020 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.0063 ,0.0041 ,0.0000 ,0.0025 ,0.0061 ,0.0000 ,0.0111 ,0.0000 ,0.0094 ,0.0035 ,0.0030 ,0.0032 ,0.0060 ,,0.0055 ,0.0100 ,0.0110 ,0.0025 ,,0.0000 ,0.0020 ,0.0000 ,,0.0059 ,0.0170 ,0.0310 ,0.0160 ,0.0039 ,,0.0000 ,0.0020 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.0500 ,0.0370 ,0.0398 ,0.0517 ,0.0610 ,0.0560 ,0.0444 ,0.0400 ,0.0566 ,0.0547 ,0.0574 ,0.0457 ,0.0595 ,,0.0622 ,0.1030 ,0.1150 ,0.0455 ,,0.0690 ,0.0500 ,0.0610 ,,0.0328 ,0.0670 ,0.0630 ,0.0330 ,0.0394 ,,0.0600 ,0.0570 ,0.0485 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
